Station|Fontaine les Balmes|Fontaine les Balmes|Fontaine les Balmes|Fontaine les Balmes|Saint-Martin d'Heres|Saint-Martin d'Heres|Saint-Martin d'Heres|Saint-Martin d'Heres|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble Grands Boulevards|Grenoble Grands Boulevards|Grenoble Grands Boulevards
févr-08|47|19|25|42|54|48|17|52|2,2|-|-|-|-|-|-|70|-|75|68|50|12,3|7|1,5|19,7|2,4|1,03|1,43|1,9|0,85|0,7|0,7|6,7|0,9|31,4|0,09|40|6|1,3|1,31|2,8|23|0,1|26|5,6|1,2|16|47|38|27,1|0,1|5,9|2,9|111|71|71|74
mars-08|27|5|52|19|32|12|42|18|1,2|-|-|-|-|-|-|60|-|60|34|24|5,3|2,9|0,7|15|1,2|0,26|0,3|0,53|0,45|0,19|0,2|5,9|0,6|9,1|0,03|24|3|0,6|0,27|1,5|10,6|0,1|7|5,8|0,6|40|17|13|8,3|0,1|2,7|1,5|49,9|57|32|32
avr-08|21|2|69|16|22|4|58|16|0,9|-|-|-|-|-|-|60|-|59|33|23|4,5|1,9|0,4|7,6|0,8|0,13|0,19|0,31|0,28|0,11|0,2|2,3|0,3|7,5|0,02|18|2|0,5|0,15|1,1|8,5|0,1|3|1,6|0,4|57|16|13|8,2|0,1|2|0,9|63,4|48|23|30
mai-08|15|2|66|19|18|3|60|23|0,5|-|-|-|-|-|-|49|-|37|34|23|3,9|1,9|1,1|3,2|0,7|0,08|0,09|0,29|0,1|0,08|0,1|2,5|0,4|8|0,01|15|1|0,6|0,09|1,4|7|0,1|2|1,9|0,5|58|20|-|5,7|0,1|2,4|3,9|29,6|49|24|35
juin-08|16|2|61|21|13|2|59|21|0,3|-|-|-|-|-|-|52|-|44|32|22|3,3|1,7|1|3,4|0,5|0,04|0,05|0,16|0,11|0,05|0,1|2,3|0,4|8,5|0,01|15|1|0,5|0,07|1,3|6,1|0,1|1|1,6|0,5|54|21|-|5,5|0,1|2,3|3,3|25,9|49|24|32
juil-08|13|2|63|21|13|2|63|22|-|-|-|-|-|-|-|51|-|36|31|20|-|1,9|0,4|4,8|0,6|0,01|0,02|0,06|0,03|0,01|0,1|1,9|0,7|13,2|0,01|14|1|0,5|0,03|1,3|9,1|0,1|1|2,3|0,5|57|20|14|6,7|0,1|2,7|1,1|38,5|47|20|30
août-08|10|1|55|17|11|2|50|18|-|-|-|-|-|-|-|43|-|32|26|18|-|1,5|0,3|4,9|0,5|0,03|0,04|0,1|0,05|0,03|0,1|1,9|0,5|9,3|0,01|12|0|0,5|0,06|1,3|5,5|0,1|1|1,5|0,4|45|18|13|6,7|0,1|2,4|0,8|29,8|40|18|25
sept-08|18|6|26|22|23|9|30|25|-|-|-|-|-|-|-|54|-|56|33|22|-|-|-|-|0,8|0,09|0,17|0,27|0,12|0,09|-|-|-|-|0,02|18|1|0,7|0,17|1,7|-|-|6|-|0,7|27|24|18|-|-|3|-|-|52|40|47
oct-08|26|12|14|32|30|20|15|34|-|-|-|-|-|-|-|54|-|70|39|27|-|-|-|-|1,1|0,18|0,32|0,55|0,33|0,2|-|-|-|-|0,04|25|1|1|0,5|2,5|-|-|11|-|1|14|32|24|-|-|4,3|-|-|60|57|49
nov-08|31|15|14|27|36|26|13|30|-|-|-|-|-|-|-|58|-|73|36|27|-|1,6|0,9|6,5|1,1|0,5|0,84|1,28|0,43|0,47|0,3|2,7|0,9|11,8|0,09|30|3|0,6|1,03|1,4|10|0,1|17|1,7|0,6|15|28|24|7,2|0,1|2,8|0,7|44,1|57|62|44
